"agency","city","state","ntd_id","organization_type","reporter_type","report_year","uace_code","uza_name","primary_uza_population","agency_voms","mode","mode_name","type_of_service","mode_voms","major_mechanical_failures","major_mechanical_failures_1","other_mechanical_failures","other_mechanical_failures_1","total_mechanical_failures","total_mechanical_failures_1","vehicle_passenger_car_miles","vehicle_passenger_car_miles_1","vehicle_passenger_car_revenue","vehicle_passenger_car_miles_2","train_miles","train_miles_questionable","train_revenue_miles","train_revenue_miles_1"
"Golden Crescent Regional Planning Commission, dba: Victoria Transit","Victoria","TX","60095","MPO, COG or Other Planning Agency","Full Reporter","2023","90514","Victoria, TX","65986","64","DR","Demand Response","PT","33","0",,"0",,"0",,"585435",,"529078","Q","0",,"0",
"Central Midlands Regional Transportation Authority, dba: The COMET","Columbia","SC","40141","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","18964","Columbia, SC","590407","230","DR","Demand Response","PT","23","54",,"7",,"61",,"552892",,"499443",,"0",,"0",
"Central Midlands Regional Transportation Authority, dba: The COMET","Columbia","SC","40141","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","18964","Columbia, SC","590407","230","MB","Bus","PT","52","856",,"40",,"896",,"2454221",,"2334605",,"0",,"0",
"Central Midlands Regional Transportation Authority, dba: The COMET","Columbia","SC","40141","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","18964","Columbia, SC","590407","230","VP","Vanpool","PT","19","0",,"0",,"0",,"429616",,"429616",,"0",,"0",
"Central Midlands Regional Transportation Authority, dba: The COMET","Columbia","SC","40141","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","18964","Columbia, SC","590407","230","CB","Commuter Bus","PT","2","62",,"2",,"64",,"160117",,"149472",,"0",,"0",
"Academy Lines, Inc., dba: Academy","Hoboken","NJ","20122","Private-For-Profit Corporation","Full Reporter","2023","63217","New York--Jersey City--Newark, NY--NJ","19426449","80","CB","Commuter Bus","DO","80","14",,"32",,"46",,"3055439",,"2312042",,"0",,"0",
"Access Services","El Monte","CA","90157","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","51445","Los Angeles--Long Beach--Anaheim, CA","12237376","920","DR","Demand Response","PT","638","655",,"65",,"720",,"30720512",,"24660151",,"0",,"0",
"Alameda-Contra Costa Transit District, dba: AC Transit","Oakland","CA","90014","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","78904","San Francisco--Oakland, CA","3515933","620","DR","Demand Response","PT","175","62",,"71",,"133",,"5378223",,"4411277",,"0",,"0",
"Alameda-Contra Costa Transit District, dba: AC Transit","Oakland","CA","90014","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","78904","San Francisco--Oakland, CA","3515933","620","MB","Bus","DO","372","476",,"1368",,"1844",,"16970789",,"16404172",,"0",,"0",
"Alameda-Contra Costa Transit District, dba: AC Transit","Oakland","CA","90014","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","78904","San Francisco--Oakland, CA","3515933","620","MB","Bus","PT","14","2",,"0",,"2",,"422726",,"393669",,"0",,"0",
"Alameda-Contra Costa Transit District, dba: AC Transit","Oakland","CA","90014","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","78904","San Francisco--Oakland, CA","3515933","620","CB","Commuter Bus","DO","41","29",,"76",,"105",,"773375",,"460017",,"0",,"0",
"Alameda-Contra Costa Transit District, dba: AC Transit","Oakland","CA","90014","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","78904","San Francisco--Oakland, CA","3515933","620","RB","Bus Rapid Transit","DO","18","22",,"112",,"134",,"727025",,"681509",,"0",,"0",
"City of Albany , dba: Albany Transit System","Albany","GA","40021","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","901","Albany, GA","85960","14","DR","Demand Response","DO","4","44",,"33",,"77",,"76527",,"70390",,"0",,"0",
"City of Albany , dba: Albany Transit System","Albany","GA","40021","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","901","Albany, GA","85960","14","MB","Bus","DO","10","134",,"38",,"172",,"352370",,"349071",,"0",,"0",
"Altamont Corridor Express","Stockton","CA","90182","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","85087","Stockton, CA","414847","27","CR","Commuter Rail","PT","27","4",,"2",,"6",,"1027079",,"988530",,"175079",,"168268",
"Altoona Metro Transit, dba: AMTRAN","Altoona","PA","30011","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","1792","Altoona, PA","74426","21","DR","Demand Response","DO","1","0",,"0",,"0",,"396",,"150",,"0",,"0",
"Altoona Metro Transit, dba: AMTRAN","Altoona","PA","30011","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","1792","Altoona, PA","74426","21","MB","Bus","DO","20","13",,"6",,"19",,"558652",,"549489",,"0",,"0",
"Ann Arbor Area Transportation Authority","Ann Arbor","MI","50040","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","2602","Ann Arbor, MI","317689","227","DR","Demand Response","PT","35","25",,"1",,"26",,"1146543",,"856433",,"0",,"0",
"Ann Arbor Area Transportation Authority","Ann Arbor","MI","50040","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","2602","Ann Arbor, MI","317689","227","MB","Bus","DO","75","134",,"29",,"163",,"3757259",,"3519655",,"0",,"0",
"Ann Arbor Area Transportation Authority","Ann Arbor","MI","50040","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","2602","Ann Arbor, MI","317689","227","CB","Commuter Bus","PT","3","0",,"0",,"0",,"494801",,"455400",,"0",,"0",
"Ann Arbor Area Transportation Authority","Ann Arbor","MI","50040","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","2602","Ann Arbor, MI","317689","227","VP","Vanpool","PT","114","14",,"3",,"17",,"1860355",,"1860355",,"0",,"0",
"Antelope Valley Transit Authority","Lancaster","CA","90121","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","67140","Palmdale--Lancaster, CA","359559","86","MB","Bus","PT","48","40",,"63",,"103",,"2805871",,"2300667",,"0",,"0",
"Antelope Valley Transit Authority","Lancaster","CA","90121","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","67140","Palmdale--Lancaster, CA","359559","86","CB","Commuter Bus","PT","20","7",,"5",,"12",,"993215",,"716602",,"0",,"0",
"Antelope Valley Transit Authority","Lancaster","CA","90121","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","67140","Palmdale--Lancaster, CA","359559","86","DR","Demand Response","PT","18","18",,"5",,"23",,"798082",,"512975",,"0",,"0",
"City of Asheville, dba: ART (Asheville Rides Transit)","Asheville","NC","40005","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","3358","Asheville, NC","285776","19","MB","Bus","PT","19","262",,"990",,"1252",,"1327664",,"1317518",,"0",,"0",
"Athens-Clarke County Unified Government, dba: Athens-Clarke County Transit Department","Athens","GA","40047","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","3763","Athens-Clarke County, GA","143213","20","DR","Demand Response","DO","2","1",,"3",,"4",,"35619",,"30263",,"0",,"0",
"Athens-Clarke County Unified Government, dba: Athens-Clarke County Transit Department","Athens","GA","40047","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","3763","Athens-Clarke County, GA","143213","20","MB","Bus","DO","18","18",,"92",,"110",,"802630",,"770889",,"0",,"0",
"Augusta Richmond County Transit Department, dba: Augusta Transit","Augusta","GA","40023","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","4222","Augusta-Richmond County, GA--SC","431480","18","DR","Demand Response","PT","6","23",,"5",,"28",,"143278",,"117158",,"0",,"0",
"Augusta Richmond County Transit Department, dba: Augusta Transit","Augusta","GA","40023","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","4222","Augusta-Richmond County, GA--SC","431480","18","MB","Bus","PT","12","340",,"701",,"1041",,"554644",,"525624","W","0",,"0",
"Bay Metropolitan Transit Authority, dba: Bay Metro","Bay City","MI","50029","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","5869","Bay City, MI","68472","50","DR","Demand Response","DO","14","6",,"8",,"14",,"423549",,"415216",,"0",,"0",
"Bay Metropolitan Transit Authority, dba: Bay Metro","Bay City","MI","50029","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","5869","Bay City, MI","68472","50","MB","Bus","DO","36","20",,"49",,"69",,"729980",,"726342",,"0",,"0",
"City of Beaumont, dba: Beaumont Municipal Transit System","Beaumont","TX","60016","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","6058","Beaumont, TX","146649","18","DR","Demand Response","PT","6","0",,"16",,"16",,"180632",,"128221",,"0",,"0",
"City of Beaumont, dba: Beaumont Municipal Transit System","Beaumont","TX","60016","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","6058","Beaumont, TX","146649","18","MB","Bus","PT","12","10",,"62",,"72",,"662662",,"640134",,"0",,"0",
"Beaver County Transit Authority","Rochester","PA","30023","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","69697","Pittsburgh, PA","1745039","31","DR","Demand Response","DO","19","3",,"0",,"3",,"531193",,"438878",,"0",,"0",
"Beaver County Transit Authority","Rochester","PA","30023","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","69697","Pittsburgh, PA","1745039","31","MB","Bus","DO","12","1",,"0",,"1",,"682559",,"598903",,"0",,"0",
"City of Racine, Wisconsin, dba: RYDE Racine","Racine","WI","50006","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","73153","Racine, WI","134877","37","DR","Demand Response","DO","5","2",,"3",,"5",,"98265",,"88875",,"0",,"0",
"City of Racine, Wisconsin, dba: RYDE Racine","Racine","WI","50006","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","73153","Racine, WI","134877","37","MB","Bus","DO","29","62",,"105",,"167",,"978863",,"916097",,"0",,"0",
"City of Racine, Wisconsin, dba: RYDE Racine","Racine","WI","50006","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","73153","Racine, WI","134877","37","CB","Commuter Bus","PT","3","8",,"7",,"15",,"218764",,"194259",,"0",,"0",
"Ben Franklin Transit","Richland","WA","00018","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","44479","Kennewick--Richland--Pasco, WA","255401","273","DR","Demand Response","DO","62","98",,"30",,"128",,"1926704",,"1704662",,"0",,"0",
"Ben Franklin Transit","Richland","WA","00018","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","44479","Kennewick--Richland--Pasco, WA","255401","273","DR","Demand Response","PT","37","4",,"0",,"4",,"1327222",,"1151046",,"0",,"0",
"Ben Franklin Transit","Richland","WA","00018","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","44479","Kennewick--Richland--Pasco, WA","255401","273","MB","Bus","DO","51","287",,"48",,"335",,"3686572",,"3513119",,"0",,"0",
"Ben Franklin Transit","Richland","WA","00018","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","44479","Kennewick--Richland--Pasco, WA","255401","273","VP","Vanpool","DO","123","2",,"2",,"4",,"1828042",,"1828042",,"0",,"0",
"Berkshire Regional Transit Authority","Pittsfield","MA","10007","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","69778","Pittsfield, MA","50720","27","DR","Demand Response","PT","11","0",,"0",,"0",,"300018",,"235370",,"0",,"0",
"Berkshire Regional Transit Authority","Pittsfield","MA","10007","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","69778","Pittsfield, MA","50720","27","MB","Bus","PT","16","6",,"146",,"152",,"890107",,"890107",,"0",,"0",
"Bi-State Development Agency of the Missouri-Illinois Metropolitan District, dba: (St. Louis) Metro","Saint Louis","MO","70006","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","77770","St. Louis, MO--IL","2156323","385","DR","Demand Response","DO","102","184",,"38",,"222",,"3368631",,"3181859",,"0",,"0",
"Bi-State Development Agency of the Missouri-Illinois Metropolitan District, dba: (St. Louis) Metro","Saint Louis","MO","70006","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","77770","St. Louis, MO--IL","2156323","385","LR","Light Rail","DO","42","265",,"24",,"289",,"4819559",,"4770068",,"2467268",,"2442085",
"Bi-State Development Agency of the Missouri-Illinois Metropolitan District, dba: (St. Louis) Metro","Saint Louis","MO","70006","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","77770","St. Louis, MO--IL","2156323","385","MB","Bus","DO","241","349",,"137",,"486",,"13875329",,"12060999",,"0",,"0",
"City of Billings, dba: Billings Metropolitan Transit System","Billings","MT","80004","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","7705","Billings, MT","128787","29","DR","Demand Response","DO","13","2",,"2",,"4",,"234684",,"178742",,"0",,"0",
"City of Billings, dba: Billings Metropolitan Transit System","Billings","MT","80004","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","7705","Billings, MT","128787","29","MB","Bus","DO","16","33",,"6",,"39",,"644795",,"597099",,"0",,"0",
"Birmingham-Jefferson County Transit Authority","Birmingham","AL","40042","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","7786","Birmingham, AL","774956","85","DR","Demand Response","DO","31","44",,"51",,"95",,"950567",,"819526",,"0",,"0",
"Birmingham-Jefferson County Transit Authority","Birmingham","AL","40042","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","7786","Birmingham, AL","774956","85","MB","Bus","DO","34","101",,"121",,"222",,"1700871",,"1643027",,"0",,"0",
