Rank,"Rank, 10 Biggest",Mode,Type of Service,NTD ID,Agency,City,State,Vehicle/Passenger Car Revenue Miles,Total Mechanical Failures,Mean Miles Between Breakdowns
297,NA,MB,DO,70010,Des Moines Area Regional Transit Authority,Des Moines,IA,3067909,524,5854.788167938931
298,NA,MB,DO,40014,Coast Transit Authority,Gulfport,MS,784178,134,5852.074626865671
299,NA,MB,DO,40042,Birmingham-Jefferson County Transit Authority,Birmingham,AL,1810653,312,5803.375
300,NA,MB,DO,30015,Luzerne County Transportation Authority,Kingston,PA,1203261,208,5784.908653846154
301,NA,MB,DO,80004,Metropolitan Transit System,Billings,MT,599695,104,5766.298076923077
302,NA,MB,DO,50006,RYDE,Racine,WI,926135,161,5752.391304347826
303,NA,MB,PT,40158,LakeXpress,Tavares,FL,548750,96,5716.145833333333
304,NA,MB,DO,90008,Big Blue Bus,Santa Monica,CA,3921249,686,5716.106413994169
305,NA,MB,DO,20002,Capital District Transportation Authority,Albany,NY,8588785,1504,5710.628324468085
306,NA,MB,DO,60114,STAR Transit,Terrell,TX,194113,34,5709.205882352941
307,NA,MB,PT,30030,Washington Metropolitan Area Transit Authority,Washington,DC,776257,136,5707.77205882353
308,NA,MB,DO,90079,SunLine Transit Agency,Thousand Palms,CA,2978952,530,5620.664150943397
309,NA,MB,DO,30202,South Central Transit Authority,Lancaster,PA,3261988,581,5614.437177280551
310,NA,MB,PT,40015,"JTRAN-City of Jackson, MS",Jackson,MS,614360,110,5585.090909090909
311,NA,MB,PT,50001,Valley Transit,Appleton,WI,5583,1,5583
312,NA,MB,DO,10001,Rhode Island Public Transit Authority,Providence,RI,9627384,1743,5523.456110154905
313,NA,MB,PT,30068,Fairfax Connector Bus System,Fairfax,VA,10863043,1968,5519.838922764227
314,NA,MB,DO,90039,Culver City Municipal Bus Lines,Culver City,CA,1335642,247,5407.457489878542
315,NA,MB,PT,90171,Santa Clarita Transit,Santa Clarita,CA,1587991,297,5346.771043771044
316,NA,MB,DO,00002,Spokane Transit Authority,Spokane,WA,6485325,1218,5324.568965517241
317,NA,MB,DO,60032,New Orleans Regional Transit Authority,New Orleans,LA,5747849,1084,5302.443726937269
318,NA,MB,DO,40012,Winston-Salem Transit Authority,Winston Salem,NC,1910783,363,5263.865013774105
319,NA,MB,DO,40032,VOTRAN,Daytona Beach,FL,2896262,553,5237.363471971067
320,NA,MB,DO,30083,Hampton Roads Transit,Hampton,VA,8991346,1720,5227.526744186047
321,NA,MB,PT,90012,San Joaquin Regional Transit District,Stockton,CA,15626,3,5208.666666666667
322,NA,MB,PT,20076,The Bee-Line System,White Plains,NY,7493145,1445,5185.567474048443
323,NA,MB,DO,60101,Denton County Transportation Authority,Lewisville,TX,780316,153,5100.104575163398
324,NA,MB,PT,90092,Fairfield and Suisun Transit,Fairfield,CA,509475,101,5044.306930693069
325,NA,MB,DO,40047,Athens-Clarke County Transit Department,Athens,GA,744535,148,5030.641891891892
326,NA,MB,DO,60019,ABQRIDE,Albuquerque,NM,3924705,781,5025.230473751601
327,NA,MB,PT,90211,Anaheim Transportation Network,Anaheim,CA,720679,144,5004.715277777777
328,NA,MB,DO,00012,Public Transportation,Anchorage,AK,2280229,456,5000.502192982456
329,NA,MB,DO,30006,Greater Richmond Transit Company,Richmond,VA,4294608,861,4987.93031358885
330,5,MB,DO,60008,"Metropolitan Transit Authority of Harris County, Texas",Houston,TX,26366843,5293,4981.455318344984
331,NA,MB,DO,50017,Greater Dayton Regional Transit Authority,Dayton,OH,3655349,738,4953.047425474255
332,NA,MB,PT,90136,Valley Metro,Phoenix,AZ,12114801,2455,4934.74582484725
333,NA,MB,DO,70030,Coralville Transit System,Coralville,IA,196951,40,4923.775
334,NA,MB,DO,00376,"Ride Connection, Inc.",Portland,OR,285434,58,4921.275862068966
335,NA,MB,DO,10050,Greater Bridgeport Transit Authority,Bridgeport,CT,1780685,364,4891.991758241758
336,NA,MB,DO,40001,Chattanooga Area Regional Transportation Authority,Chattanooga,TN,1787764,367,4871.291553133515
337,NA,MB,DO,50184,Macatawa Area Express Transportation Authority,Holland,MI,325693,67,4861.089552238806
338,NA,MB,DO,80002,Sioux Area Metro,Sioux Falls,SD,487831,101,4830.009900990099
339,NA,MB,DO,80011,Transfort,Fort Collins,CO,1045290,219,4773.013698630137
340,NA,MB,DO,90004,Golden Empire Transit District,Bakersfield,CA,2913459,612,4760.553921568628
341,NA,MB,PT,90241,County of Maui,Wailuku,HI,1402303,295,4753.5694915254235
342,NA,MB,DO,50052,South Bend Public Transportation Corporation,South Bend,IN,1278850,270,4736.481481481482
343,NA,MB,DO,90012,San Joaquin Regional Transit District,Stockton,CA,1443824,306,4718.3790849673205
344,NA,MB,DO,10055,Connecticut Department of Transportation - CTTRANSIT New Haven Division,Hartford,CT,4369828,930,4698.739784946237
345,NA,MB,DO,50005,City of Madison,Madison,WI,4321376,921,4692.047774158524
346,NA,MB,DO,00005,EVERETT TRANSIT,Everett,WA,1115803,239,4668.6317991631795
347,NA,MB,DO,10086,Cooperative Alliance for Seacoast Transportation,Dover,NH,580673,126,4608.515873015873
348,NA,MB,DO,50012,Metro / Access,Cincinnati,OH,9985241,2170,4601.493548387097
349,NA,MB,PT,90233,Yuma County Intergovernmental Public Transportation Authority,Yuma,AZ,785886,173,4542.693641618497
350,NA,MB,DO,70015,Wichita Transit,Wichita,KS,1697197,374,4537.959893048128
351,NA,MB,PT,40018,Transit Authority of River City,Louisville,KY,18145,4,4536.25
352,NA,MB,DO,70001,StarTran,Lincoln,NE,1423637,315,4519.48253968254
353,NA,MB,DO,50057,Rock Island County Metropolitan Mass Transit District,Moline,IL,2136647,476,4488.754201680672
354,NA,MB,DO,60010,CITIBUS,Lubbock,TX,1333665,298,4475.385906040268
355,NA,MB,DO,50034,Jackson Area Transportation Authority,Jackson,MI,351282,79,4446.607594936709
356,NA,MB,DO,50025,Duluth Transit Authority,Duluth,MN,1870758,424,4412.165094339623
357,NA,MB,DO,60011,VIA Metropolitan Transit,San Antonio,TX,19127620,4412,4335.362647325476
358,6,MB,DO,20188,MTA Bus Company,New York,NY,25876153,5997,4314.849591462398
359,NA,MB,DO,20071,Huntington Area Rapid Transit,Huntington,NY,376308,88,4276.227272727273
360,NA,MB,DO,10057,Norwalk Transit District,Norwalk,CT,778369,184,4230.266304347826
361,NA,MB,PT,40034,Transportation & Public Work,Miami,FL,1704443,407,4187.820638820639
362,NA,MB,DO,90023,Long Beach Transit,Long Beach,CA,5819512,1391,4183.689432063264
363,NA,MB,DO,50050,Indianapolis and Marion County Public Transportation,Indianapolis,IN,7063747,1702,4150.262632197415
364,NA,MB,DO,40026,Manatee County Area Transit,Sarasota,FL,1478881,357,4142.523809523809
365,NA,MB,DO,50027,Metro Transit,Minneapolis,MN,18842935,4601,4095.399913062378
366,NA,MB,DO,40009,Fayetteville Area System of Transit,Fayetteville,NC,1025430,256,4005.5859375
367,NA,MB,PT,90002,City & County of Honolulu DTS,Honolulu,HI,17183540,4295,4000.824214202561
368,NA,MB,DO,60022,Capital Area Transit System,Baton Rouge,LA,2517700,632,3983.7025316455697
369,NA,MB,DO,30094,Harrisonburg Department of Public Transportation,Harrisonburg,VA,603509,153,3944.503267973856
370,NA,MB,DO,90042,GTrans,Gardena,CA,1155229,295,3916.0305084745764
371,NA,MB,DO,20004,Niagara Frontier Transportation Authority,Buffalo,NY,7314694,1886,3878.4167550371158
372,NA,MB,PT,40008,Charlotte Area Transit System,Charlotte,NC,9269707,2392,3875.295568561873
373,NA,MB,PT,50096,Waukesha Metro Transit,Waukesha,WI,115941,30,3864.7
374,NA,MB,DO,30058,CUE Bus,Fairfax,VA,431985,112,3857.0089285714284
375,NA,MB,DO,70041,CyRide,Ames,IA,1276110,331,3855.317220543807
376,NA,MB,PT,90033,City of Tucson,Tucson,AZ,7533020,1957,3849.269289729177
377,NA,MB,PT,30077,Pottstown Area Rapid Transit,Pottstown,PA,277258,73,3798.054794520548
378,NA,MB,PT,60008,"Metropolitan Transit Authority of Harris County, Texas",Houston,TX,7721021,2036,3792.25
379,NA,MB,DO,40041,Hillsborough Area Regional Transit Authority,Tampa,FL,6544375,1730,3782.875722543353
380,NA,MB,DO,40057,Jackson Transit Authority,Jackson,TN,517652,138,3751.1014492753625
381,NA,MB,DO,50059,Sangamon Mass Transit District,Springfield,IL,1812857,487,3722.4989733059547
382,NA,MB,PT,10008,Pioneer Valley Transit Authority,Springfield,MA,4680280,1258,3720.4133545310015
383,NA,MB,PT,10007,Berkshire Regional Transit Authority,Pittsfield,MA,835416,225,3712.96
384,NA,MB,DO,80025,City of Loveland Transit,Loveland,CO,310768,85,3656.0941176470587
385,NA,MB,PT,40094,Alternativa de Transporte Integrado -ATI,San Juan,PR,923900,263,3512.927756653992
386,NA,MB,DO,40036,StarMetro,Tallahassee,FL,1919608,548,3502.934306569343
387,NA,MB,DO,10048,Connecticut Department of Transportation - CTTRANSIT - Hartford Division,Hartford,CT,8697066,2510,3464.966533864542
388,NA,MB,DO,80028,Cache Valley Transit District,Logan,UT,1144494,332,3447.2710843373493
389,7,MB,DO,90154,Metro,Los Angeles,CA,57210088,17035,3358.3849721162314
390,NA,MB,DO,90219,Mountain Line public transit,Flagstaff,AZ,912707,274,3331.0474452554745
391,NA,MB,PT,30070,Potomac and Rappahannock Transportation Commission,Woodbridge,VA,1272683,385,3305.67012987013
392,NA,MB,DO,50031,Suburban Mobility Authority for Regional Transportation,Detroit,MI,9279554,2813,3298.8105225737645
393,NA,MB,DO,90010,Torrance Transit System,Torrance,CA,1521332,483,3149.7556935817806
394,NA,MB,PT,20206,Nassau Inter County Express,Mineola,NY,8373637,2662,3145.6187077385425
395,NA,MB,DO,50158,University of Michigan Parking and Transportation Services,Ann Arbor,MI,1119961,363,3085.2920110192836
396,NA,MB,DO,40034,Transportation & Public Work,Miami,FL,23797513,7720,3082.5794041450777
397,NA,MB,PT,70044,KU Transportation Services,Lawrence,KS,281832,92,3063.391304347826
398,NA,MB,DO,40029,Broward County Transit Division,Fort Lauderdale,FL,13932065,4605,3025.4212812160695
399,NA,MB,DO,50004,LaCrosse Municipal Transit Utility,La Crosse,WI,887773,301,2949.4119601328903
400,NA,MB,PT,10004,Brockton Area Transit Authority,Brockton,MA,1139921,388,2937.9407216494847
401,NA,MB,DO,50058,Rockford Mass Transit District,Rockford,IL,1274174,435,2929.135632183908
402,NA,MB,PT,10006,Southeastern Regional Transit Authority,New Bedford,MA,1661461,569,2919.9666080843585
403,NA,MB,DO,60091,Hill Country Transit District,San Saba,TX,450388,155,2905.7290322580643
404,NA,MB,DO,50035,Central County Transportation Authority,Kalamazoo,MI,1345175,468,2874.3055555555557
405,NA,MB,DO,90034,City of Glendale,Glendale,AZ,93715,33,2839.848484848485
406,NA,MB,PT,30112,DDOT - Progressive Transportation Services Administration,Washington,DC,1251101,443,2824.155756207675
407,NA,MB,DO,70003,"City Utilities of Springfield, MO",Springfield,MO,1086478,392,2771.627551020408
408,NA,MB,DO,30091,Blacksburg Transit,Blacksburg,VA,904509,334,2708.1107784431138
409,NA,MB,PT,50008,Milwaukee County Transit System,Milwaukee,WI,16422120,6123,2682.0382165605097
410,NA,MB,DO,10056,Connecticut Department of Transportation - CTTRANSIT Stamford Division,Hartford,CT,1534170,576,2663.4895833333335
411,NA,MB,DO,90029,Omnitrans,San Bernardino,CA,5752876,2179,2640.145020651675
412,NA,MB,DO,30002,The Tri-State Transit Authority,Hunnington,WV,880710,336,2621.160714285714
413,8,MB,DO,00001,King County Metro,Seattle,WA,29908625,11413,2620.575221238938
414,NA,MB,PT,20078,MTA Metro-North Railroad,New York,NY,132117,52,2540.7115384615386
415,NA,MB,DO,30012,Cambria County Transit Authority,Johnstown,PA,1040602,420,2477.6238095238095
416,NA,MB,PT,90156,City of San Luis Obispo,San Luis Obispo,CA,330244,137,2410.5401459854015
417,NA,MB,DO,30001,Kanawha Valley Regional Transportation Authority,Charleston,WV,2087459,872,2393.875
418,NA,MB,PT,50036,Capital Area Transportation Authority,Lansing,MI,4770,2,2385
419,NA,MB,DO,50011,Stark Area Regional Transit Authority,Canton,OH,2242539,948,2365.5474683544303
420,NA,MB,DO,10040,Southeast Area Transit District,Preston,CT,1029911,436,2362.1811926605506
421,NA,MB,PT,80005,Mountain Metropolitan Transit,Colorado Springs,CO,2466408,1054,2340.045540796964
422,NA,MB,DO,90022,Norwalk Transit System,Norwalk,CA,1006323,440,2287.0977272727273
423,NA,MB,DO,40003,Memphis Area Transit Authority,Memphis,TN,4204626,1846,2277.6955579631635
424,9,MB,DO,40022,Metropolitan Atlanta Rapid Transit Authority,Atlanta,GA,23919052,10712,2232.921209858103
425,NA,MB,PT,50159,River Valley Metro Mass Transit District,Bourbonnais,IL,844927,383,2206.0757180156656
426,NA,MB,DO,40058,City of Rome Transit Department,Rome,GA,284589,130,2189.146153846154
427,NA,MB,DO,50119,Detroit Department of Transportation,Detroit,MI,8748721,4042,2164.453488372093
428,10,MB,DO,50066,Chicago Transit Authority,Chicago,IL,44199272,20433,2163.1317966035335
429,NA,MB,DO,50047,Bloomington-Normal Public Transit System,Normal,IL,1215890,573,2121.9720767888307
430,NA,MB,DO,80107,UDASH,Missoula,MT,62142,30,2071.4
431,NA,MB,DO,40180,University of Georgia Transit System,Athens,GA,451324,219,2060.840182648402
432,NA,MB,DO,30075,Delaware Transit Corporation,Dover,DE,7290523,3550,2053.6684507042255
433,NA,MB,DO,50045,Gary Public Transportation Corporation,Gary,IN,788671,398,1981.5854271356784
434,NA,MB,DO,20003,Department of Transportation/BC Transit,Binghamton,NY,1166783,589,1980.955857385399
435,NA,MB,DO,50056,Greater Peoria Mass Transit District,Peoria,IL,2128576,1095,1943.9050228310502
436,NA,MB,DO,40018,Transit Authority of River City,Louisville,KY,6372079,3520,1810.2497159090908
437,NA,MB,DO,40021,Albany Transit System,NA,GA,394719,221,1786.0588235294117
438,NA,MB,DO,60038,Lafayette Transit System,Lafayette,LA,748618,441,1697.546485260771
439,NA,MB,DO,70016,Go COMO,Columbia,MO,405631,261,1554.1417624521073
440,NA,MB,DO,50522,Lake Erie Transit,Monroe,MI,235591,154,1529.8116883116884
441,NA,MB,PT,30201,City of Baltimore,Baltimore,MD,459740,319,1441.191222570533
442,NA,MB,DO,70002,Transit Authority of Omaha,Omaha,NE,3590120,2518,1425.7823669579032
443,NA,MB,DO,10014,Worcester Regional Transit Authority,Worcester,MA,2019637,1561,1293.809737347854
444,NA,MB,PT,60048,Capital Metro,Austin,TX,13955659,12576,1109.7057092875318
445,NA,MB,DO,91092,Tahoe Transportation District,Stateline,NV,208928,195,1071.425641025641
446,NA,MB,DO,90013,Santa Clara Valley Transportation Authority,San Jose,CA,14058542,13660,1029.1758418740849
447,NA,MB,PT,40005,ART (Asheville Redefines Transit),Asheville,NC,1287477,1342,959.3718330849479
448,NA,MB,PT,40023,Augusta Richmond County Transit Department,Augusta,GA,434090,1986,218.57502517623362
