NTD ID,Mode,Type of Service,Agency,City,State,Legacy NTD ID,Organization Type,Reporter Type,Primary UZA Population,Agency VOMS,Mode VOMS,Major Mechanical Failures,Major Mechanical Failures Questionable,Other Mechanical Failures,Other Mechanical Failures Questionable,Total Mechanical Failures,Total Mechanical Failures Questionable,Vehicle/Passenger Car Miles,Vehicle/Passenger Car Miles Questionable,Vehicle/Passenger Car Revenue Miles,Vehicle/Passenger Car Revenue Miles Questionable,Train Miles,Train Miles Questionable,Train Revenue Miles,Train Revenue Miles Questionable,Any Data Questionable?,Mean Miles Between Breakdowns,Rank,"Rank, 10 Biggest"
30073,CR,PT,Virginia Railway Express,Alexandria,VA,3073,Independent Public Agency or Authority of Transit Service,Full Reporter,4586770,99,99,8,NA,0,NA,8,NA,1633003,NA,1560552,NA,234886,NA,224480,NA,No,195069,11,NA
90151,CR,PT,Metrolink,Los Angeles,CA,9151,Independent Public Agency or Authority of Transit Service,Full Reporter,12150996,184,184,62,NA,0,NA,62,NA,11006597,NA,10870106,NA,2238674,NA,2211709,NA,No,175324.29032258064,12,6
40,CR,PT,Sound Transit,Seattle,WA,40,Independent Public Agency or Authority of Transit Service,Full Reporter,3059393,357,77,9,NA,1,NA,10,NA,1628788,NA,1592374,NA,254695,NA,248214,NA,No,159237.4,13,NA
20080,CR,DO,New Jersey Transit Corporation,Newark,NJ,2080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,18351295,3494,897,334,NA,75,NA,409,NA,59186463,NA,56469325,NA,8824512,NA,8341255,NA,No,138066.80929095353,14,7
30019,CR,DO,Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,3019,Independent Public Agency or Authority of Transit Service,Full Reporter,5441567,2099,286,53,NA,35,NA,88,NA,12427953,NA,11874654,NA,3847963,NA,3674199,NA,No,134939.25,15,8
90182,CR,PT,Altamont Corridor Express,Stockton,CA,9182,Independent Public Agency or Authority of Transit Service,Full Reporter,370583,22,22,0,NA,4,NA,4,NA,497497,NA,479399,NA,105346,NA,93259,NA,No,119849.75,16,NA
80001,CR,DO,Utah Transit Authority,Salt Lake City,UT,8001,Independent Public Agency or Authority of Transit Service,Full Reporter,1021243,1016,45,38,NA,12,NA,50,NA,4590245,NA,4569404,NA,1147561,NA,1142351,NA,No,91388.08,17,NA
90299,CR,DO,Sonoma-Marin Area Rail Transit District,Petaluma,CA,NA,Independent Public Agency or Authority of Transit Service,Full Reporter,308231,8,8,5,NA,0,NA,5,NA,402312,NA,398291,NA,201142,NA,199145,NA,No,79658.2,18,NA
50027,CR,PT,Metro Transit,Minneapolis,MN,5027,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,2650890,575,10,1,NA,1,NA,2,NA,160249,NA,158717,NA,40270,NA,39885,NA,No,79358.5,19,NA
10003,CR,PT,Massachusetts Bay Transportation Authority,Boston,MA,1003,Independent Public Agency or Authority of Transit Service,Full Reporter,4181019,2252,416,234,NA,22,NA,256,NA,20570758,NA,19929696,NA,3743534,NA,3623867,NA,No,77850.375,20,9
30034,CR,PT,Maryland Transit Administration,Baltimore,MD,3034,State Government Unit or Department of Transportation,Full Reporter,2203663,1333,149,61,NA,0,NA,61,NA,4678306,NA,4379575,NA,913032,NA,878562,NA,No,71796.31147540984,21,NA
60056,CR,PT,Dallas Area Rapid Transit,Dallas,TX,6056,Independent Public Agency or Authority of Transit Service,Full Reporter,5121892,730,23,20,NA,0,NA,20,NA,1360009,NA,1341985,NA,567308,NA,560295,NA,No,67099.25,22,NA
40232,CR,PT,SunRail,Tallahassee,FL,4232,State Government Unit or Department of Transportation,Full Reporter,1510516,23,23,15,NA,0,NA,15,NA,1008262,NA,982780,NA,503930,NA,491194,NA,No,65518.666666666664,23,NA
60111,CR,PT,Rio Metro Regional Transit District,Albuquerque,NM,6111,Independent Public Agency or Authority of Transit Service,Full Reporter,741318,58,25,5,NA,0,NA,5,NA,324614,NA,305317,NA,94686,NA,89697,NA,No,61063.4,24,NA
80006,CR,DO,Denver Regional Transportation District,Denver,CO,8006,Independent Public Agency or Authority of Transit Service,Full Reporter,2374203,913,8,16,NA,12,NA,28,NA,760667,NA,691630,NA,393053,NA,341477,NA,No,24701.071428571428,25,NA
40077,CR,PT,South Florida Regional Transportation Authority,Pompano Beach,FL,4077,Independent Public Agency or Authority of Transit Service,Full Reporter,5502379,56,40,53,NA,83,NA,136,NA,3508050,NA,3243049,NA,990227,NA,913950,NA,No,23845.948529411766,26,NA
80006,CR,PT,Denver Regional Transportation District,Denver,CO,8006,Independent Public Agency or Authority of Transit Service,Full Reporter,2374203,913,36,143,NA,109,NA,252,NA,4974332,NA,4930201,NA,1893311,NA,1871245,NA,No,19564.289682539682,27,10
10102,CR,PT,Connecticut Department of Transportation,Newington,CT,1102,State Government Unit or Department of Transportation,Full Reporter,924859,27,12,8,NA,55,NA,63,NA,807879,NA,807879,NA,265219,NA,265219,NA,No,12823.47619047619,28,NA
30030,HR,DO,Washington Metropolitan Area Transit Authority,Washington,DC,3030,Independent Public Agency or Authority of Transit Service,Full Reporter,4586770,2728,998,202,NA,2,NA,204,NA,75767724,NA,72843843,NA,9471854,NA,9085713,NA,No,357077.6617647059,1,1
30019,HR,DO,Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,3019,Independent Public Agency or Authority of Transit Service,Full Reporter,5441567,2099,286,50,NA,85,NA,135,NA,16303264,NA,16213547,NA,3474078,NA,3454951,NA,No,120100.34814814814,2,2
90003,HR,DO,San Francisco Bay Area Rapid Transit District,Oakland,CA,9003,Independent Public Agency or Authority of Transit Service,Full Reporter,3281212,512,496,380,NA,117,NA,497,NA,51357890,NA,49113169,NA,5454828,NA,5210283,NA,No,98819.25352112677,3,3
20098,HR,DO,Port Authority Trans-Hudson Corporation,New York,NJ,2098,Independent Public Agency or Authority of Transit Service,Full Reporter,18351295,282,282,95,NA,84,NA,179,NA,13060990,W,12631773,W,1748603,NA,1690481,NA,No,70568.56424581006,4,4
90154,HR,DO,Metro,Los Angeles,CA,9154,Independent Public Agency or Authority of Transit Service,Full Reporter,12150996,2541,54,99,NA,15,NA,114,NA,6430418,NA,6255775,NA,1264817,NA,1230631,NA,No,54875.21929824561,5,5
10003,HR,DO,Massachusetts Bay Transportation Authority,Boston,MA,1003,Independent Public Agency or Authority of Transit Service,Full Reporter,4181019,2252,336,471,NA,25,NA,496,NA,22823049,NA,22284336,NA,3176629,NA,3107098,NA,No,44928.096774193546,6,6
20099,HR,DO, MTA Staten Island Railway,Staten Island,NY,2099,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,18351295,44,44,80,NA,0,NA,80,NA,2630831,NA,2349663,NA,657708,NA,587416,NA,No,29370.7875,7,NA
30034,HR,DO,Maryland Transit Administration,Baltimore,MD,3034,State Government Unit or Department of Transportation,Full Reporter,2203663,1333,42,178,NA,18,NA,196,NA,4996561,NA,4681086,NA,884529,NA,765392,NA,No,23883.091836734693,8,NA
20008,HR,DO,MTA New York City Transit,Brooklyn,NY,2008,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,18351295,10075,5410,2257,NA,12732,NA,14989,NA,341593245,NA,331253516,NA,37477972,NA,36328789,NA,No,22099.774234438588,9,7
20075,HR,DO,Port Authority Transit Corporation,Camden,NJ,2075,Independent Public Agency or Authority of Transit Service,Full Reporter,5441567,60,60,142,NA,101,NA,243,NA,4598378,NA,4334618,NA,879436,NA,827510,NA,No,17837.9341563786,10,NA
40022,HR,DO,Metropolitan Atlanta Rapid Transit Authority,Atlanta,GA,4022,Independent Public Agency or Authority of Transit Service,Full Reporter,4515419,842,210,805,NA,250,NA,1055,NA,17687164,NA,17210772,NA,3057167,NA,3002981,NA,No,16313.527962085309,11,8
50015,HR,DO,The Greater Cleveland Regional Transit Authority,Cleveland,OH,5015,Independent Public Agency or Authority of Transit Service,Full Reporter,1780673,356,18,215,NA,28,NA,243,NA,2393939,NA,2389074,NA,1193248,NA,1190823,NA,No,9831.58024691358,12,NA
50066,HR,DO,Chicago Transit Authority,Chicago,IL,5066,Independent Public Agency or Authority of Transit Service,Full Reporter,8608208,2685,1160,452,NA,8262,NA,8714,NA,73376048,NA,72369642,NA,10260794,NA,10124579,NA,No,8304.985310993803,13,9
40094,HR,PT,Alternativa de Transporte Integrado -ATI,San Juan,PR,4094,State Government Unit or Department of Transportation,Full Reporter,2148346,58,36,59,NA,382,NA,441,NA,1333318,NA,1260506,NA,408816,NA,388709,NA,No,2858.2902494331065,14,NA
40034,HR,DO,Transportation & Public Work,Miami,FL,4034,"City, County or Local Government Unit or Department of Transportation",Full Reporter,5502379,1386,52,228,NA,1936,NA,2164,NA,5229832,NA,4945303,NA,1307476,NA,1236326,NA,No,2285.260166358595,15,10
90154,LR,DO,Metro,Los Angeles,CA,9154,Independent Public Agency or Authority of Transit Service,Full Reporter,12150996,2541,110,242,NA,45,NA,287,NA,12836257,NA,12421319,NA,5564976,NA,5387476,NA,No,43279.857142857145,1,1
60056,LR,DO,Dallas Area Rapid Transit,Dallas,TX,6056,Independent Public Agency or Authority of Transit Service,Full Reporter,5121892,730,89,208,NA,33,NA,241,NA,8962551,NA,8906185,NA,5009386,NA,4976333,NA,No,36955.1244813278,2,2
8,LR,DO,Tri-County Metropolitan Transportation District of Oregon,Portland,OR,8,Independent Public Agency or Authority of Transit Service,Full Reporter,1849898,736,102,268,NA,17,NA,285,NA,8290262,NA,8172915,NA,4157736,NA,4098957,NA,No,28676.894736842107,3,3
80006,LR,DO,Denver Regional Transportation District,Denver,CO,8006,Independent Public Agency or Authority of Transit Service,Full Reporter,2374203,913,111,212,NA,197,NA,409,NA,9867443,NA,9585582,NA,3986181,NA,3831602,NA,No,23436.630806845966,4,4
40,LR,DO,Sound Transit,Seattle,WA,40,Independent Public Agency or Authority of Transit Service,Full Reporter,3059393,357,72,208,NA,54,NA,262,NA,6103668,NA,5921192,NA,1727093,NA,1660683,NA,No,22599.969465648854,5,5
80001,LR,DO,Utah Transit Authority,Salt Lake City,UT,8001,Independent Public Agency or Authority of Transit Service,Full Reporter,1021243,1016,81,146,NA,163,NA,309,NA,6420388,NA,6334698,NA,2535850,NA,2501944,NA,No,20500.64077669903,6,6
90209,LR,PT,"Valley Metro Rail, Inc.",Phoenix,AZ,9209,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,3629114,40,40,81,NA,95,NA,176,NA,2989336,NA,2976448,NA,1395363,NA,1389337,NA,No,16911.636363636364,7,NA
30034,LR,DO,Maryland Transit Administration,Baltimore,MD,3034,State Government Unit or Department of Transportation,Full Reporter,2203663,1333,17,168,NA,29,NA,197,NA,3246879,NA,3166877,NA,1446543,NA,1445003,NA,No,16075.517766497462,8,NA
50027,LR,DO,Metro Transit,Minneapolis,MN,5027,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,2650890,575,75,194,NA,99,NA,293,NA,4812658,NA,4680138,NA,1693116,NA,1623290,NA,No,15973.16723549488,9,7
20004,LR,DO,Niagara Frontier Transportation Authority,Buffalo,NY,2004,Independent Public Agency or Authority of Transit Service,Full Reporter,935906,345,23,45,NA,17,NA,62,NA,998723,NA,981361,NA,344723,NA,338730,NA,No,15828.40322580645,10,NA
70006,LR,DO,(St. Louis) Metro,Saint Louis,MO,7006,Independent Public Agency or Authority of Transit Service,Full Reporter,2150706,461,42,297,NA,69,NA,366,NA,5618758,NA,5561777,NA,2809379,NA,2780888,NA,No,15196.112021857924,11,8
90026,LR,DO,San Diego Metropolitan Transit System,San Diego,CA,9026,Independent Public Agency or Authority of Transit Service,Full Reporter,2956746,691,96,214,NA,541,NA,755,NA,10242855,NA,10077479,NA,3418750,NA,3363417,NA,No,13347.654304635762,12,9
30083,LR,DO,Hampton Roads Transit,Hampton,VA,3083,Independent Public Agency or Authority of Transit Service,Full Reporter,1439666,349,6,33,NA,0,NA,33,NA,379947,NA,379228,NA,379947,NA,379228,NA,No,11491.757575757576,13,NA
40008,LR,DO,Charlotte Area Transit System,Charlotte,NC,4008,"City, County or Local Government Unit or Department of Transportation",Full Reporter,1249442,304,28,178,NA,4,NA,182,NA,1786698,NA,1668123,NA,892325,NA,834062,NA,No,9165.510989010989,14,NA
10003,LR,DO,Massachusetts Bay Transportation Authority,Boston,MA,1003,Independent Public Agency or Authority of Transit Service,Full Reporter,4181019,2252,155,581,NA,32,NA,613,NA,5179647,NA,5157964,NA,2589824,NA,2578983,NA,No,8414.296900489397,15,10
90019,LR,DO,Sacramento RT,Sacramento,CA,9019,Independent Public Agency or Authority of Transit Service,Full Reporter,1723634,300,35,353,NA,76,NA,429,NA,3613824,NA,3542376,NA,1829195,NA,1774069,NA,No,8257.286713286714,16,NA
20080,LR,PT,New Jersey Transit Corporation,Newark,NJ,2080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,18351295,3494,42,163,NA,94,NA,257,NA,2162618,NA,2112863,NA,1243333,NA,1243333,NA,No,8221.256809338522,17,NA
60008,LR,DO,"Metropolitan Transit Authority of Harris County, Texas",Houston,TX,6008,Independent Public Agency or Authority of Transit Service,Full Reporter,4944332,1367,50,37,NA,352,NA,389,NA,2614997,NA,2606610,NA,1522540,NA,1514152,NA,No,6700.796915167095,18,NA
30022,LR,DO,Port Authority of Allegheny County,Pittsburgh,PA,3022,Independent Public Agency or Authority of Transit Service,Full Reporter,1733853,781,24,233,NA,64,NA,297,NA,1516078,NA,1472075,NA,1516078,NA,1472075,NA,No,4956.481481481482,19,NA
90013,LR,DO,Santa Clara Valley Transportation Authority,San Jose,CA,9013,Independent Public Agency or Authority of Transit Service,Full Reporter,1664496,515,46,78,NA,501,NA,579,NA,3037317,NA,2831553,NA,1523018,NA,1419244,NA,No,4890.419689119171,20,NA
20080,LR,DO,New Jersey Transit Corporation,Newark,NJ,2080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,18351295,3494,15,74,NA,50,NA,124,NA,519258,NA,505977,NA,519258,NA,505977,NA,No,4080.4596774193546,21,NA
50015,LR,DO,The Greater Cleveland Regional Transit Authority,Cleveland,OH,5015,Independent Public Agency or Authority of Transit Service,Full Reporter,1780673,356,5,104,NA,30,NA,134,NA,471092,NA,468737,NA,471092,NA,468737,NA,No,3498.0373134328356,22,NA
90015,LR,DO,San Francisco Municipal Transportation Agency,San Francisco,CA,9015,"City, County or Local Government Unit or Department of Transportation",Full Reporter,3281212,746,112,344,NA,66,NA,410,NA,820467,NA,818259,NA,467392,NA,466015,NA,No,1995.7536585365854,23,NA
50157,MB,DO,Butler County Regional Transit Authority,Hamilton,OH,5157,Independent Public Agency or Authority of Transit Service,Full Reporter,1624827,34,16,1,NA,2,NA,3,NA,617748,NA,602414,NA,0,NA,0,NA,No,200804.66666666666,1,NA
60108,MB,PT, Community & Economic Development Department,Houston,TX,6108,"City, County or Local Government Unit or Department of Transportation",Full Reporter,4944332,32,12,0,NA,4,NA,4,NA,799966,NA,740262,NA,0,NA,0,NA,No,185065.5,2,NA
30076,MB,DO,Williamsburg Area Transit Authority,Williamsburg,VA,3076,Independent Public Agency or Authority of Transit Service,Full Reporter,75689,23,17,5,NA,0,NA,5,NA,813366,NA,772764,NA,0,NA,0,NA,No,154552.8,3,NA
80001,MB,PT,Utah Transit Authority,Salt Lake City,UT,8001,Independent Public Agency or Authority of Transit Service,Full Reporter,1021243,1016,7,1,NA,1,NA,2,NA,343054,NA,308016,NA,0,NA,0,NA,No,154008,4,NA
40104,MB,PT,Indian River County,Vero Beach,FL,4104,"City, County or Local Government Unit or Department of Transportation",Full Reporter,149422,27,14,2,NA,4,NA,6,NA,873741,NA,852841,NA,0,NA,0,NA,No,142140.16666666666,5,NA
40031,MB,PT,Lakeland Area Mass Transit District,Lakeland,FL,4031,Independent Public Agency or Authority of Transit Service,Full Reporter,262596,73,6,2,NA,1,NA,3,NA,443703,NA,421324,NA,0,NA,0,NA,No,140441.33333333334,6,NA
30025,MB,DO,County of Lackawanna Transit System,Scranton,PA,3025,Independent Public Agency or Authority of Transit Service,Full Reporter,381502,73,26,3,NA,3,NA,6,NA,779776,NA,720322,NA,0,NA,0,NA,No,120053.66666666667,7,NA
50051,MB,DO,Greater Lafayette Public Transportation Corporation,Lafayette,IN,5051,Independent Public Agency or Authority of Transit Service,Full Reporter,147725,62,56,15,NA,0,NA,15,NA,1812291,NA,1735527,NA,0,NA,0,NA,No,115701.8,8,NA
40044,MB,DO,The M (Montgomery Area Transit System),Montgomery,AL,4044,"City, County or Local Government Unit or Department of Transportation",Full Reporter,263907,25,19,11,NA,0,NA,11,NA,1251450,NA,1236953,NA,0,NA,0,NA,No,112450.27272727272,9,NA
30023,MB,DO,Beaver County Transit Authority,Rochester,PA,3023,Independent Public Agency or Authority of Transit Service,Full Reporter,1733853,34,18,5,NA,1,NA,6,NA,745845,NA,628474,NA,0,NA,0,NA,No,104745.66666666667,10,NA
40192,MB,PT,Martin County,Stuart,FL,4192,"City, County or Local Government Unit or Department of Transportation",Full Reporter,376047,11,7,1,NA,4,NA,5,NA,457775,NA,448557,NA,0,NA,0,NA,No,89711.4,11,NA
90062,MB,PT,Monterey-Salinas Transit,Monterey,CA,9062,Independent Public Agency or Authority of Transit Service,Full Reporter,114237,84,17,7,NA,1,NA,8,NA,804066,NA,690065,NA,0,NA,0,NA,No,86258.125,12,NA
10183,MB,DO,"Woods Hole, Martha's Vineyard and Nantucket Steamship Authority",Woods Hole,MA,NA,Independent Public Agency or Authority of Transit Service,Full Reporter,246695,26,18,4,NA,0,NA,4,NA,342948,NA,341123,NA,0,NA,0,NA,No,85280.75,13,NA
40025,MB,DO,Chatham Area Transit Authority,Savannah,GA,4025,Independent Public Agency or Authority of Transit Service,Full Reporter,260677,66,36,9,NA,15,NA,24,NA,2058124,NA,1996380,NA,0,NA,0,NA,No,83182.5,14,NA
90014,MB,PT,Alameda-Contra Costa Transit District,Oakland,CA,9014,Independent Public Agency or Authority of Transit Service,Full Reporter,3281212,500,15,5,NA,0,NA,5,NA,437685,NA,410330,NA,0,NA,0,NA,No,82066,15,NA
40078,MB,PT,CobbLinc,Marietta,GA,4078,"City, County or Local Government Unit or Department of Transportation",Full Reporter,4515419,80,57,12,NA,27,NA,39,NA,3320798,NA,3044790,NA,0,NA,0,NA,No,78071.53846153847,16,NA
30095,MB,DO,County of Lebanon Transit Authority,Lebanon,PA,3095,Independent Public Agency or Authority of Transit Service,Full Reporter,77086,22,11,3,NA,3,NA,6,NA,442390,NA,442390,NA,0,NA,0,NA,No,73731.66666666667,17,NA
60009,MB,DO,El Metro,Laredo,TX,6009,"City, County or Local Government Unit or Department of Transportation",Full Reporter,235730,43,37,12,NA,11,NA,23,NA,1756558,NA,1680846,NA,0,NA,0,NA,No,73080.26086956522,18,NA
10118,MB,PT,MetroWest Regional Transit Authority,Framingham,MA,1118,Independent Public Agency or Authority of Transit Service,Full Reporter,4181019,72,37,1,NA,13,NA,14,NA,1014599,NA,1014318,NA,0,NA,0,NA,No,72451.28571428571,19,NA
40147,MB,PT,North Carolina State University,Raleigh,NC,4147,University,Full Reporter,884891,27,27,0,NA,7,NA,7,NA,530539,NA,495949,NA,0,NA,0,NA,No,70849.85714285714,20,NA
40185,MB,PT,Bay County Transportation Planning Organization,Panama City,FL,4185,"MPO, COG or Other Planning Agency",Full Reporter,143280,29,17,6,NA,2,NA,8,NA,597977,NA,564854,NA,0,NA,0,NA,No,70606.75,21,NA
60006,MB,DO,Sun Metro,El Paso,TX,6006,"City, County or Local Government Unit or Department of Transportation",Full Reporter,803086,177,112,63,NA,19,NA,82,NA,6433675,NA,5549837,NA,0,NA,0,NA,No,67680.93902439025,22,NA
90093,MB,PT,Redding Area Bus Authority,Redding,CA,9093,Independent Public Agency or Authority of Transit Service,Full Reporter,117731,21,13,8,NA,2,NA,10,NA,697229,NA,672997,NA,0,NA,0,NA,No,67299.7,23,NA
99423,MB,PT,City of Glendale,Glendale,CA,NA,"City, County or Local Government Unit or Department of Transportation",Full Reporter,12150996,37,31,12,NA,0,NA,12,NA,839248,NA,802412,NA,0,NA,0,NA,No,66867.66666666667,24,NA
90013,MB,PT,Santa Clara Valley Transportation Authority,San Jose,CA,9013,Independent Public Agency or Authority of Transit Service,Full Reporter,1664496,515,12,0,NA,2,NA,2,NA,143167,NA,130222,NA,0,NA,0,NA,No,65111,25,NA
30081,MB,PT,Loudoun County Transit,Leesburg,VA,3081,"City, County or Local Government Unit or Department of Transportation",Full Reporter,4586770,46,18,7,NA,10,NA,17,NA,1182654,NA,1030281,NA,0,NA,0,NA,No,60604.76470588235,26,NA
50209,MB,PT,Central Indiana Regional Transportation Authority,Indianapolis,IN,5209,Independent Public Agency or Authority of Transit Service,Full Reporter,1487483,29,3,0,NA,3,NA,3,NA,189725,NA,178812,NA,0,NA,0,NA,No,59604,27,NA
90205,MB,PT,City of Elk Grove,Elk Grove,CA,9205,"City, County or Local Government Unit or Department of Transportation",Full Reporter,1723634,41,16,6,NA,3,NA,9,NA,553802,NA,515464,NA,0,NA,0,NA,No,57273.77777777778,28,NA
50204,MB,DO,Jackson County Mass Transit District,Carbondale,IL,5204,Independent Public Agency or Authority of Transit Service,Full Reporter,67821,15,15,5,NA,0,NA,5,NA,292950,NA,284417,W,0,NA,0,NA,No,56883.4,29,NA
50211,MB,DO,Rides Mass Transit District,Harrisburg,IL,5211,Independent Public Agency or Authority of Transit Service,Full Reporter,67821,107,107,45,NA,8,NA,53,NA,3479681,NA,2973615,NA,0,NA,0,NA,No,56105.943396226416,30,NA
20006,MB,DO,City of Long Beach,Long Beach,NY,2006,"City, County or Local Government Unit or Department of Transportation",Full Reporter,18351295,7,5,1,NA,3,NA,4,NA,231403,NA,223804,NA,0,NA,0,NA,No,55951,31,NA
60088,MB,PT,Jefferson Transit,Gretna,LA,6088,"City, County or Local Government Unit or Department of Transportation",Full Reporter,899703,46,31,15,NA,10,NA,25,NA,1533174,NA,1374580,NA,0,NA,0,NA,No,54983.2,32,NA
50146,MB,PT,Madison County Transit District,Pontoon Beach,IL,5146,Independent Public Agency or Authority of Transit Service,Full Reporter,2150706,113,72,40,NA,22,NA,62,NA,4017450,NA,3375375,NA,0,NA,0,NA,No,54441.532258064515,33,NA
40035,MB,PT,Central Florida Regional Transportation Authority,Orlando,FL,4035,Independent Public Agency or Authority of Transit Service,Full Reporter,1510516,558,13,0,NA,9,NA,9,NA,633116,NA,481564,NA,0,NA,0,NA,No,53507.11111111111,34,NA
50024,MB,DO,Western Reserve Transit Authority,Youngstown,OH,5024,Independent Public Agency or Authority of Transit Service,Full Reporter,387550,53,38,6,NA,30,NA,36,NA,1989053,NA,1907881,NA,0,NA,0,NA,No,52996.694444444445,35,NA
10053,MB,PT,Cape Ann Transportation Authority,Gloucester,MA,1053,Independent Public Agency or Authority of Transit Service,Full Reporter,4181019,21,11,2,NA,5,NA,7,NA,403708,NA,362133,NA,0,NA,0,NA,No,51733.28571428572,36,NA
40028,MB,DO,LeeTran,Fort Myers,FL,4028,"City, County or Local Government Unit or Department of Transportation",Full Reporter,530290,100,49,38,NA,25,NA,63,NA,3204703,NA,3010727,NA,0,NA,0,NA,No,47789.31746031746,37,NA
44,MB,DO,Skagit Transit,Burlington,WA,44,Independent Public Agency or Authority of Transit Service,Full Reporter,62966,69,15,8,NA,8,NA,16,NA,804902,NA,754158,NA,0,NA,0,NA,No,47134.875,38,NA
40077,MB,PT,South Florida Regional Transportation Authority,Pompano Beach,FL,4077,Independent Public Agency or Authority of Transit Service,Full Reporter,5502379,56,16,0,NA,7,NA,7,NA,440375,NA,322099,NA,0,NA,0,NA,No,46014.142857142855,39,NA
10003,MB,PT,Massachusetts Bay Transportation Authority,Boston,MA,1003,Independent Public Agency or Authority of Transit Service,Full Reporter,4181019,2252,69,26,NA,0,NA,26,NA,1236591,NA,1192323,NA,0,NA,0,NA,No,45858.57692307692,40,NA
50054,MB,DO,Muncie Indiana Transit System,Muncie,IN,5054,Independent Public Agency or Authority of Transit Service,Full Reporter,90580,36,27,5,NA,12,NA,17,NA,773091,NA,722387,NA,0,NA,0,NA,No,42493.35294117647,41,NA
90043,MB,DO,City of Commerce Municipal Buslines,Commerce,CA,9043,"City, County or Local Government Unit or Department of Transportation",Full Reporter,12150996,11,8,0,NA,6,NA,6,NA,248890,NA,242545,NA,0,NA,0,NA,No,40424.166666666664,42,NA
90226,MB,PT,Imperial County Transportation Commission,El Centro,CA,9226,Independent Public Agency or Authority of Transit Service,Full Reporter,107672,16,11,3,NA,10,NA,13,NA,597664,NA,523001,NA,0,NA,0,NA,No,40230.846153846156,43,NA
90091,MB,PT,Visalia Transit,Visalia,CA,9091,"City, County or Local Government Unit or Department of Transportation",Full Reporter,219454,35,24,30,NA,12,NA,42,NA,1677342,NA,1647899,NA,0,NA,0,NA,No,39235.69047619047,44,NA
